name,current_team,position,height,weight,age,colleges
Jaylen Brown,Boston Celtics,SG,"6' 6""",223,28,California
JD Davison,Boston Celtics,SG,"6' 1""",195,22,Alabama
Sam Hauser,Boston Celtics,SF,"6' 7""",217,27,Virginia
Jrue Holiday,Boston Celtics,PG,"6' 4""",205,34,UCLA
Al Horford,Boston Celtics,C,"6' 9""",240,38,Florida
Luke Kornet,Boston Celtics,C,"7' 1""",250,29,Vanderbilt
Drew Peterson,Boston Celtics,F,"6' 9""",205,25,USC
Kristaps Porzingis,Boston Celtics,C,"7' 2""",240,29,
Payton Pritchard,Boston Celtics,PG,"6' 1""",195,26,Oregon
Neemias Queta,Boston Celtics,C,"7' 0""",248,25,Utah State
Baylor Scheierman,Boston Celtics,F,"6' 6""",205,24,Creighton
Jaden Springer,Boston Celtics,G,"6' 4""",202,22,Tennessee
Jayson Tatum,Boston Celtics,SF,"6' 8""",210,26,Duke
Xavier Tillman,Boston Celtics,F,"6' 7""",245,25,Michigan State
Jordan Walsh,Boston Celtics,G,"6' 6""",205,20,Arkansas
Anton Watson,Boston Celtics,F,"6' 8""",235,24,Gonzaga
Derrick White,Boston Celtics,PG,"6' 4""",190,30,Colorado
Reece Beekman,Brooklyn Nets,G,"6' 3""",190,23,Virginia
Bojan Bogdanovic,Brooklyn Nets,SF,"6' 7""",226,35,
Nic Claxton,Brooklyn Nets,C,"6' 11""",215,25,Georgia
Noah Clowney,Brooklyn Nets,F,"6' 9""",210,20,Alabama
Dorian Finney-Smith,Brooklyn Nets,PF,"6' 7""",220,31,Florida
Cameron Johnson,Brooklyn Nets,SF,"6' 8""",210,28,North Carolina
Keon Johnson,Brooklyn Nets,G,"6' 5""",185,22,Tennessee
Jaylen Martin,Brooklyn Nets,G,"6' 6""",216,20,
Tyrese Martin,Brooklyn Nets,G,"6' 6""",215,25,UConn
De'Anthony Melton,Brooklyn Nets,SG,"6' 3""",200,26,USC
Shake Milton,Brooklyn Nets,SG,"6' 5""",205,28,SMU
Day'Ron Sharpe,Brooklyn Nets,C,"6' 9""",265,23,North Carolina
Ben Simmons,Brooklyn Nets,PG,"6' 10""",240,28,LSU
Cam Thomas,Brooklyn Nets,SG,"6' 3""",210,23,LSU
Trendon Watford,Brooklyn Nets,PF,"6' 8""",237,24,LSU
Dariq Whitehead,Brooklyn Nets,F,"6' 6""",220,20,Duke
Ziaire Williams,Brooklyn Nets,F,"6' 9""",185,23,Stanford
Jalen Wilson,Brooklyn Nets,F,"6' 6""",220,24,Kansas
Precious Achiuwa,New York Knicks,PF,"6' 8""",243,25,Memphis
OG Anunoby,New York Knicks,SF,"6' 7""",240,27,Indiana
Mikal Bridges,New York Knicks,SF,"6' 6""",209,28,Villanova
Jalen Brunson,New York Knicks,PG,"6' 2""",190,28,Villanova
Boo Buie,New York Knicks,G,"6' 2""",180,25,Northwestern
Pacome Dadiet,New York Knicks,G,"6' 8""",210,19,
Josh Hart,New York Knicks,SG,"6' 4""",215,29,Villanova
Ariel Hukporti,New York Knicks,C,"6' 11""",246,22,
Tyler Kolek,New York Knicks,G,"6' 3""",195,23,Marquette
