name,current_team,position,height,weight,birth_date,colleges,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage,turnovers_per_game
Giannis Antetokounmpo,MIL,PF,6-6,200,1994-12-31,,24.0,35.0,32.708332,11.583333,6.0,0.7083333,1.5,61.2770004272461,22.22222238779068,61.39699935913085,3.4166667
Nikola Jokic,DEN,C,6-6,200,1995-12-31,,23.0,37.47826,30.869566,12.956522,9.826087,1.7391304,0.6956522,56.34099960327148,50.495052337646484,79.59200286865234,3.7826087
LaMelo Ball,CHA,PG,6-6,200,2001-12-29,,20.0,33.65,30.4,5.3,7.45,1.4,0.2,42.137001037597656,34.35114622116089,84.03399658203125,4.25
Shai Gilgeous-Alexander,OKC,PG,6-6,200,1998-12-30,,27.0,34.62963,30.25926,5.4814816,6.185185,1.962963,1.0,50.793998718261726,33.52941274642944,86.79199981689453,2.6666667
Luka Doncic,DAL,PG,6-6,200,1999-12-30,,20.0,36.95,28.9,8.55,8.15,2.1,0.45,45.88999938964844,35.499998927116394,76.64199829101562,3.45
Jayson Tatum,BOS,SF,6-6,200,1998-12-30,,26.0,36.384617,28.846153,9.269231,5.6923075,1.1538461,0.46153846,46.26900100708008,37.1841162443161,80.31900024414062,2.8076923
Anthony Davis,LAL,PF,6-6,200,1993-12-31,,27.0,35.37037,26.88889,11.814815,3.4074075,1.2592592,2.1851852,52.38999938964844,30.000001192092896,78.11199951171875,2.2962964
De'Aaron Fox,SAC,PG,6-6,200,1997-12-30,,30.0,37.166668,26.233334,5.0,6.1666665,1.6333333,0.26666668,48.327999114990234,33.33333432674408,81.21499633789062,3.4666667
Damian Lillard,MIL,PG,6-6,200,1991-01-01,,22.0,36.363636,25.727272,4.5,7.5454545,1.0454545,0.18181819,44.96099853515625,37.07317113876343,91.61299896240234,3.0
Anthony Edwards,MIN,SG,6-6,200,2001-12-29,,27.0,35.925926,25.62963,5.4444447,4.0,1.3333334,0.5925926,44.750999450683594,42.124542593955994,80.53099822998047,3.0
Devin Booker,PHX,SG,6-6,200,1996-12-30,,26.0,36.576923,25.076923,3.6538463,6.3846154,1.1153846,0.34615386,43.85599899291992,34.49999988079071,89.89399719238281,2.2692308
Jalen Brunson,NY,PG,6-6,200,1996-12-30,,28.0,34.464287,25.071428,2.892857,7.607143,0.71428573,0.071428575,49.27199935913086,44.632768630981445,82.77799987792969,2.4642856
Tyrese Maxey,PHI,PG,6-6,200,2000-12-29,,20.0,36.7,25.05,3.55,4.95,1.95,0.35,41.231998443603516,32.97872245311737,81.98200225830078,2.2
Victor Wembanyama,SA,C,6-6,200,2004-12-28,,23.0,32.391304,24.695652,9.956522,3.8695652,1.1304348,3.7826087,47.75400161743164,34.928229451179504,87.5,3.5217392
