team,league,from,to,years,games,wins,losses,win_pct,playoffs,division,conference,championships
Atlanta Hawks,NBA,1949-50,2024-25,76,5966,2941,3025,.493,49,12,0,1
Boston Celtics,NBA/BAA,1946-47,2024-25,79,6142,3656,2486,.595,61,34,11,18
Brooklyn Nets,NBA/ABA,1967-68,2024-25,58,4640,2039,2601,.439,31,5,2,2
Charlotte Hornets,NBA,1988-89,2024-25,35,2741,1181,1560,.431,10,0,0,0
Chicago Bulls,NBA,1966-67,2024-25,59,4709,2396,2313,.509,36,9,6,6
Cleveland Cavaliers,NBA,1970-71,2024-25,55,4382,2057,2325,.469,24,7,5,1
Dallas Mavericks,NBA,1980-81,2024-25,45,3571,1815,1756,.508,25,5,3,1
Denver Nuggets,NBA/ABA,1967-68,2024-25,58,4639,2382,2257,.513,39,13,1,1
Detroit Pistons,NBA/BAA,1948-49,2024-25,77,6027,2839,3188,.471,42,11,5,3
Golden State Warriors,NBA/BAA,1946-47,2024-25,79,6130,2984,3146,.487,37,12,7,7
Houston Rockets,NBA,1967-68,2024-25,58,4634,2388,2246,.515,34,8,4,2
Indiana Pacers,NBA/ABA,1967-68,2024-25,58,4641,2371,2270,.511,37,9,1,3
Los Angeles Clippers,NBA,1970-71,2024-25,55,4389,1859,2530,.424,18,3,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2024-25,77,6032,3566,2466,.591,64,33,19,17
Memphis Grizzlies,NBA,1995-96,2024-25,30,2340,1018,1322,.435,13,2,0,0
Miami Heat,NBA,1988-89,2024-25,37,2911,1534,1377,.527,25,16,7,3
Milwaukee Bucks,NBA,1968-69,2024-25,57,4552,2404,2148,.528,36,19,3,2
Minnesota Timberwolves,NBA,1989-90,2024-25,36,2821,1161,1660,.412,12,1,0,0
New Orleans Pelicans,NBA,2002-03,2024-25,23,1798,836,962,.465,9,1,0,0
New York Knicks,NBA/BAA,1946-47,2024-25,79,6133,2992,3141,.488,45,8,4,2
Oklahoma City Thunder,NBA,1967-68,2024-25,58,4633,2492,2141,.538,33,12,4,1
Orlando Magic,NBA,1989-90,2024-25,36,2833,1333,1500,.471,17,7,2,0
Philadelphia 76ers,NBA,1949-50,2024-25,76,5967,3110,2857,.521,54,12,5,3
Phoenix Suns,NBA,1968-69,2024-25,57,4552,2443,2109,.537,33,8,3,0
Portland Trail Blazers,NBA,1970-71,2024-25,55,4390,2301,2089,.524,37,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2024-25,77,6035,2761,3274,.457,30,6,0,1
San Antonio Spurs,NBA/ABA,1967-68,2024-25,58,4639,2698,1941,.582,47,22,6,5
Toronto Raptors,NBA,1995-96,2024-25,30,2339,1103,1236,.472,13,7,1,1
Utah Jazz,NBA,1974-75,2024-25,51,4059,2184,1875,.538,31,11,2,0
Washington Wizards,NBA,1961-62,2024-25,64,5113,2276,2837,.445,30,8,4,1
