name,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage,turnovers_per_game
Giannis Antetokounmpo,24.0,35.0,32.708332,11.583333,6.0,0.7083333,1.5,61.2770004272461,22.22222238779068,61.39699935913085,3.4166667
Shai Gilgeous-Alexander,29.0,34.75862,31.137932,5.6551723,6.137931,1.9655173,1.1034483,51.62900161743163,35.35911738872528,87.98300170898438,2.6206896
Nikola Jokic,26.0,37.115383,30.538462,12.653846,9.538462,1.7307693,0.61538464,56.90299987792968,48.71794879436493,79.375,3.5
LaMelo Ball,22.0,33.68182,30.09091,5.318182,7.409091,1.3181819,0.22727273,42.513999938964844,34.61538553237915,84.4260025024414,4.090909
Jayson Tatum,28.0,36.42857,28.714285,9.607142,5.571429,1.2142857,0.4642857,46.584999084472656,37.288135290145874,80.59700012207031,2.75
Luka Doncic,22.0,35.68182,28.136364,8.318182,7.818182,2.0,0.4090909,46.35200119018555,35.37735939025879,76.71199798583984,3.409091
De'Aaron Fox,31.0,37.19355,26.225807,5.032258,6.096774,1.5806452,0.32258064,48.15399932861328,33.16062092781067,80.97799682617188,3.451613
Damian Lillard,22.0,36.363636,25.727272,4.5,7.5454545,1.0454545,0.18181819,44.96099853515625,37.07317113876343,91.61299896240234,3.0
Tyrese Maxey,22.0,37.090908,25.727272,3.8636363,5.409091,2.0454545,0.36363637,42.12799835205078,33.65384638309479,81.96700286865234,2.1818182
Anthony Davis,29.0,34.517242,25.689655,11.413794,3.3793104,1.2758621,2.1034484,52.02299880981446,30.158731341362,77.1780014038086,2.2413793
Anthony Edwards,30.0,35.9,25.266666,5.5333333,4.0,1.3333334,0.6,44.70199966430664,42.03389883041382,80.34200286865234,3.1
Victor Wembanyama,26.0,33.0,25.192308,10.115385,3.8846154,1.0384616,4.0384617,48.04899978637695,36.06557250022888,88.39299774169922,3.5769231
Devin Booker,26.0,36.576923,25.076923,3.6538463,6.3846154,1.1153846,0.34615386,43.85599899291992,34.49999988079071,89.89399719238281,2.2692308
Jaylen Brown,26.0,35.692307,24.615385,5.9615383,4.6153846,1.3846154,0.30769232,45.4900016784668,33.510637283325195,73.85600280761719,2.7692308
Jalen Brunson,31.0,34.580647,24.516129,2.967742,7.677419,0.8064516,0.06451613,48.14099884033203,41.798943281173706,81.09500122070312,2.387097
Franz Wagner,25.0,33.16,24.4,5.6,5.68,1.72,0.48,46.512001037597656,32.07547068595886,88.14800262451172,2.44
Karl-Anthony Towns,29.0,33.931034,24.310345,13.4827585,3.3793104,0.86206895,0.8965517,53.895999908447266,44.82758641242981,83.52899932861328,2.6206896
Cade Cunningham,27.0,36.25926,24.222221,6.888889,9.740741,0.8518519,0.8888889,44.93600082397461,37.288135290145874,80.0,4.4814816
Norman Powell,24.0,33.333332,24.208334,3.2916667,2.5,1.2083334,0.20833333,49.5099983215332,46.63212299346924,84.46600341796875,2.125
Kyrie Irving,28.0,35.42857,23.821428,4.571429,5.107143,1.1071428,0.2857143,48.23500061035156,44.67005133628845,89.69100189208984,2.142857
