NAME,TEAM,POS,GP,MIN,PTS,REB,AST,STL,BLK,FG%,3P%,FT%,TO
Giannis Antetokounmpo,,PF,0,0,0,0,0,0,0,0,0,0,0
Nikola Jokic,,C,0,0,0,0,0,0,0,0,0,0,0
LaMelo Ball,,PG,0,0,0,0,0,0,0,0,0,0,0
Shai Gilgeous-Alexander,,PG,0,0,0,0,0,0,0,0,0,0,0
Luka Doncic,,PG,0,0,0,0,0,0,0,0,0,0,0
Jayson Tatum,,SF,0,0,0,0,0,0,0,0,0,0,0
Anthony Davis,,PF,0,0,0,0,0,0,0,0,0,0,0
De'Aaron Fox,,PG,0,0,0,0,0,0,0,0,0,0,0
Damian Lillard,,PG,0,0,0,0,0,0,0,0,0,0,0
Anthony Edwards,,SG,0,0,0,0,0,0,0,0,0,0,0
Devin Booker,,SG,0,0,0,0,0,0,0,0,0,0,0
Jalen Brunson,,PG,0,0,0,0,0,0,0,0,0,0,0
Tyrese Maxey,,PG,0,0,0,0,0,0,0,0,0,0,0
Victor Wembanyama,,C,0,0,0,0,0,0,0,0,0,0,0
Karl-Anthony Towns,,C,0,0,0,0,0,0,0,0,0,0,0
Franz Wagner,,SF,0,0,0,0,0,0,0,0,0,0,0
Tyler Herro,,PG,0,0,0,0,0,0,0,0,0,0,0
Cade Cunningham,,PG,0,0,0,0,0,0,0,0,0,0,0
Norman Powell,,G,0,0,0,0,0,0,0,0,0,0,0
RJ Barrett,,SG,0,0,0,0,0,0,0,0,0,0,0
Kyrie Irving,,PG,0,0,0,0,0,0,0,0,0,0,0
Jaylen Brown,,SG,0,0,0,0,0,0,0,0,0,0,0
Donovan Mitchell,,SG,0,0,0,0,0,0,0,0,0,0,0
LeBron James,,SF,0,0,0,0,0,0,0,0,0,0,0
Stephen Curry,,PG,0,0,0,0,0,0,0,0,0,0,0
James Harden,,SG,0,0,0,0,0,0,0,0,0,0,0
Zach LaVine,,SG,0,0,0,0,0,0,0,0,0,0,0
Jalen Williams,,F,0,0,0,0,0,0,0,0,0,0,0
Trae Young,,PG,0,0,0,0,0,0,0,0,0,0,0
Brandon Miller,,F,0,0,0,0,0,0,0,0,0,0,0
Jaren Jackson Jr.,,PF,0,0,0,0,0,0,0,0,0,0,0
Domantas Sabonis,,PF,0,0,0,0,0,0,0,0,0,0,0
